"BOT"	"DIV"	"Tox"	"ToxC"
"1"	1	"3"	4	1.58e-09
"2"	2	"2"	0	0
"3"	3	"1"	2	2.51e-08
"4"	4	"3"	0	0
"5"	5	"2"	6	1e-10
"6"	6	"4"	0	0
"7"	7	"1"	5	3.98e-10
"8"	8	"4"	0	0
"9"	9	"5"	0	0
"10"	10	"3"	3	6.31e-09
"11"	11	"5"	0	0
"12"	12	"2"	3	6.31e-09
"13"	13	"5"	1	1e-07
"14"	14	"4"	2	2.51e-08
"15"	15	"S1"	0	0
"16"	16	"3"	5	3.98e-10
"17"	17	"4"	5	3.98e-10
"18"	18	"1"	6	1e-10
"19"	19	"2"	5	3.98e-10
"20"	20	"1"	0	0
"21"	21	"5"	4	1.58e-09
"22"	22	"S3"	0	0
"23"	23	"1"	3	6.31e-09
"24"	24	"2"	4	1.58e-09
"25"	25	"2"	2	2.51e-08
"26"	26	"3"	0	0
"27"	27	"1"	0	0
"28"	28	"1"	4	1.58e-09
"29"	29	"4"	0	0
"30"	30	"5"	0	0
"31"	31	"5"	2	2.51e-08
"32"	32	"2"	1	1e-07
"33"	33	"S2"	0	0
"34"	34	"5"	5	3.98e-10
"35"	35	"1"	0	0
"36"	36	"1"	1	1e-07
"37"	37	"3"	1	1e-07
"38"	38	"5"	3	6.31e-09
"39"	39	"4"	4	1.58e-09
"40"	40	"3"	6	1e-10
"41"	41	"3"	0	0
"42"	42	"3"	2	2.51e-08
"43"	43	"2"	0	0
"44"	44	"2"	0	0
"45"	45	"4"	1	1e-07
"46"	46	"5"	6	1e-10
"47"	47	"4"	6	1e-10
"48"	48	"4"	3	6.31e-09
"49"	49	"S4"	0	0
