"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"1"	"Div5_set2"	"Mid"	"H12"	"Blank"	NA	NA	NA	NA	0	0
"2"	"Div5_set2"	"Mid"	"H11"	"Blank"	NA	NA	NA	NA	0	0
"3"	"Div5_set2"	"Mid"	"H10"	"Cont"	NA	NA	NA	"K"	0.14771831288091	15.0880942061436
"4"	"Div5_set2"	"Mid"	"H10"	"Cont"	NA	NA	NA	"l"	21.138312719364	15.0880942061436
"5"	"Div5_set2"	"Mid"	"H10"	"Cont"	NA	NA	NA	"r"	0.11972149043167	15.0880942061436
"6"	"Div5_set2"	"Mid"	"H09"	"Cont"	NA	NA	NA	"K"	0.144577245006409	14.5447396587074
"7"	"Div5_set2"	"Mid"	"H09"	"Cont"	NA	NA	NA	"l"	17.3332264180413	14.5447396587074
"8"	"Div5_set2"	"Mid"	"H09"	"Cont"	NA	NA	NA	"r"	0.0138315826706909	14.5447396587074
"9"	"Div5_set2"	"Mid"	"H08"	"Cont"	NA	NA	NA	"K"	0.19561606561894	19.966260590761
"10"	"Div5_set2"	"Mid"	"H08"	"Cont"	NA	NA	NA	"l"	21.1931942535312	19.966260590761
"11"	"Div5_set2"	"Mid"	"H08"	"Cont"	NA	NA	NA	"r"	0.1536897330522	19.966260590761
"12"	"Div5_set2"	"Mid"	"H07"	"Cont"	NA	NA	NA	"K"	0.20015792317386	20.3643619712678
"13"	"Div5_set2"	"Mid"	"H07"	"Cont"	NA	NA	NA	"l"	19.3464154145231	20.3643619712678
"14"	"Div5_set2"	"Mid"	"H07"	"Cont"	NA	NA	NA	"r"	0.0398805742452555	20.3643619712678
"15"	"Div5_set2"	"Mid"	"H06"	"Cont"	NA	NA	NA	"K"	0.173931501591834	17.365291133561
"16"	"Div5_set2"	"Mid"	"H06"	"Cont"	NA	NA	NA	"l"	17.5549522096981	17.365291133561
"17"	"Div5_set2"	"Mid"	"H06"	"Cont"	NA	NA	NA	"r"	0.0152787402166326	17.365291133561
"18"	"Div5_set2"	"Mid"	"H03"	"Cont"	NA	NA	NA	"K"	0.240489487880404	24.1137648366603
"19"	"Div5_set2"	"Mid"	"H03"	"Cont"	NA	NA	NA	"l"	18.4238768006434	24.1137648366603
"20"	"Div5_set2"	"Mid"	"H03"	"Cont"	NA	NA	NA	"r"	0.026295162083708	24.1137648366603
"21"	"Div5_set2"	"Mid"	"H02"	"Cont"	NA	NA	NA	"K"	0.225385976148602	22.5691281223803
"22"	"Div5_set2"	"Mid"	"H02"	"Cont"	NA	NA	NA	"l"	17.395064086735	22.5691281223803
"23"	"Div5_set2"	"Mid"	"H02"	"Cont"	NA	NA	NA	"r"	0.0202140952278395	22.5691281223803
"24"	"Div5_set2"	"Mid"	"H01"	"Cont"	NA	NA	NA	"K"	0.155803181483099	15.7610174371552
"25"	"Div5_set2"	"Mid"	"H01"	"Cont"	NA	NA	NA	"l"	19.4770974577068	15.7610174371552
"26"	"Div5_set2"	"Mid"	"H01"	"Cont"	NA	NA	NA	"r"	0.0268801559362108	15.7610174371552
"27"	"Div5_set2"	"Mid"	"G12"	"Oflox"	0.05	"µM"	NA	"K"	0.0843584790127362	9.62395137089489
"28"	"Div5_set2"	"Mid"	"G12"	"Oflox"	0.05	"µM"	NA	"l"	-3.56432420599618	9.62395137089489
"29"	"Div5_set2"	"Mid"	"G12"	"Oflox"	0.05	"µM"	NA	"r"	0.00378978724259347	9.62395137089489
"30"	"Div5_set2"	"Mid"	"G11"	"Oflox"	0.08	"µM"	NA	"K"	0.196516275459621	19.8379373294538
"31"	"Div5_set2"	"Mid"	"G11"	"Oflox"	0.08	"µM"	NA	"l"	15.3484780093629	19.8379373294538
"32"	"Div5_set2"	"Mid"	"G11"	"Oflox"	0.08	"µM"	NA	"r"	0.014801623112136	19.8379373294538
"33"	"Div5_set2"	"Mid"	"G10"	"Oflox"	0.13	"µM"	NA	"K"	0.195399088763002	19.8383187454283
"34"	"Div5_set2"	"Mid"	"G10"	"Oflox"	0.13	"µM"	NA	"l"	17.7794752819921	19.8383187454283
"35"	"Div5_set2"	"Mid"	"G10"	"Oflox"	0.13	"µM"	NA	"r"	0.0241566561310071	19.8383187454283
"36"	"Div5_set2"	"Mid"	"G07"	"Oflox"	0.56	"µM"	NA	"K"	0.163506935336913	16.4356361277622
"37"	"Div5_set2"	"Mid"	"G07"	"Oflox"	0.56	"µM"	NA	"l"	16.8011895425469	16.4356361277622
"38"	"Div5_set2"	"Mid"	"G07"	"Oflox"	0.56	"µM"	NA	"r"	0.0142036984342752	16.4356361277622
"39"	"Div5_set2"	"Mid"	"G06"	"Oflox"	0.9	"µM"	NA	"K"	0.190524631603209	18.7741875651519
"40"	"Div5_set2"	"Mid"	"G06"	"Oflox"	0.9	"µM"	NA	"l"	17.0821134916169	18.7741875651519
"41"	"Div5_set2"	"Mid"	"G06"	"Oflox"	0.9	"µM"	NA	"r"	0.0131942110973324	18.7741875651519
"42"	"Div5_set2"	"Mid"	"G05"	"Oflox"	1.46	"µM"	NA	"K"	0.127571342076051	12.5858007425273
"43"	"Div5_set2"	"Mid"	"G05"	"Oflox"	1.46	"µM"	NA	"l"	18.7234419641467	12.5858007425273
"44"	"Div5_set2"	"Mid"	"G05"	"Oflox"	1.46	"µM"	NA	"r"	0.0111819637570774	12.5858007425273
"45"	"Div5_set2"	"Mid"	"G04"	"Oflox"	2.36	"µM"	NA	"K"	0.0650206657953248	6.13816293189693
"46"	"Div5_set2"	"Mid"	"G04"	"Oflox"	2.36	"µM"	NA	"l"	23.8517881914503	6.13816293189693
"47"	"Div5_set2"	"Mid"	"G04"	"Oflox"	2.36	"µM"	NA	"r"	0.00656692043073415	6.13816293189693
"48"	"Div5_set2"	"Mid"	"G01"	"Oflox"	10	"µM"	NA	NA	0	0
"49"	"Div5_set2"	"Mid"	"F12"	"Para"	0.002	"mM"	NA	"K"	0.0640241655538476	7.49498111802615
"50"	"Div5_set2"	"Mid"	"F12"	"Para"	0.002	"mM"	NA	"l"	-1.69536901567699	7.49498111802615
"51"	"Div5_set2"	"Mid"	"F12"	"Para"	0.002	"mM"	NA	"r"	0.00444489884181798	7.49498111802615
"52"	"Div5_set2"	"Mid"	"F11"	"Para"	0.005	"mM"	NA	"K"	0.181340423490108	18.3310807823656
"53"	"Div5_set2"	"Mid"	"F11"	"Para"	0.005	"mM"	NA	"l"	14.0176537688969	18.3310807823656
"54"	"Div5_set2"	"Mid"	"F11"	"Para"	0.005	"mM"	NA	"r"	0.0118278879957109	18.3310807823656
"55"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"K"	0.191355944958589	19.2662913721085
"56"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"l"	16.3513674311696	19.2662913721085
"57"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"r"	0.0159396303864369	19.2662913721085
"58"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"K"	0.171989461978479	16.9216606953515
"59"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"l"	18.1019150040167	16.9216606953515
"60"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"r"	0.0132874194329627	16.9216606953515
"61"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"K"	0.20894678610771	19.7245462468182
"62"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"l"	28.4235468388665	19.7245462468182
"63"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"r"	0.102965814110671	19.7245462468182
