"Sample"	"BOT"	"DIV"	"Tox"	"ToxC"	"bot_label"	"Tox_log"	"Sampling"	"effN"	"Richness"	"PD"
"1"	"end-01"	1	"3"	4	1.58	"3 4"	7.36518012602101	"End"	6.37817218934878	37	3.20987716251967
"2"	"end-02"	2	"2"	0	0	"2 0"	0	"End"	18.7616159287455	78	7.08183036355246
"3"	"end-03"	3	"1"	2	25.1	"1 2"	10.1306231251199	"End"	18.4110977399886	166	5.65420519350258
"4"	"end-04"	4	"3"	0	0	"3 0"	0	"End"	5.77713623708983	25	2.89683937188083
"5"	"end-05"	5	"2"	6	0.1	"2 6"	4.60517018598809	"End"	9.05943569348472	66	5.01906680578771
"6"	"end-06"	6	"4"	0	0	"4 0"	0	"End"	2.26580614283844	20	1.97491120292227
"7"	"end-07"	7	"1"	5	0.398	"1 5"	5.98645200528444	"End"	11.3534494348125	122	4.45977736288617
"8"	"end-08"	8	"4"	0	0	"4 0"	0	"End"	NA	NA	NA
"9"	"end-09"	9	"5"	0	0	"5 0"	0	"End"	4.12248638247813	40	1.91264118632224
"10"	"end-10"	10	"3"	3	6.31	"3 3"	8.74989095553526	"End"	11.6299624836202	26	5.09397901023342
"11"	"end-11"	11	"5"	0	0	"5 0"	0	"End"	3.56723074063849	13	1.61482743271016
"12"	"end-12"	12	"2"	3	6.31	"2 3"	8.74989095553526	"End"	16.4704303382008	78	6.90211286958181
"13"	"end-13"	13	"5"	1	100	"5 1"	11.5129254649702	"End"	4.59368313891633	17	3.88229861982754
"14"	"end-14"	14	"4"	2	25.1	"4 2"	10.1306231251199	"End"	3.02540832645019	18	2.4646395195792
"15"	"end-15"	15	"S1"	0	0	"S1 0"	0	"End"	43.1853191525389	99	14.3384330674675
"16"	"end-16"	16	"3"	5	0.398	"3 5"	5.98645200528444	"End"	8.53880153959356	26	5.34047198462545
"17"	"end-17"	17	"4"	5	0.398	"4 5"	5.98645200528444	"End"	5.6444246792742	22	2.48832979180841
"18"	"end-18"	18	"1"	6	0.1	"1 6"	4.60517018598809	"End"	11.9608199177235	147	5.28905841440045
"19"	"end-19"	19	"2"	5	0.398	"2 5"	5.98645200528444	"End"	17.0514211952991	64	7.15767242676381
"20"	"end-20"	20	"1"	0	0	"1 0"	0	"End"	9.17041632120332	160	4.1859399111652
"21"	"end-21"	21	"5"	4	1.58	"5 4"	7.36518012602101	"End"	1.72035601914213	15	1.6156880566993
"22"	"end-22"	22	"S3"	0	0	"S3 0"	0	"End"	34.8680427489151	93	11.7049788044252
"23"	"end-23"	23	"1"	3	6.31	"1 3"	8.74989095553526	"End"	12.0910972183957	146	5.42569866579676
"24"	"end-24"	24	"2"	4	1.58	"2 4"	7.36518012602101	"End"	23.9675933434838	95	8.15347884866569
"25"	"end-25"	25	"2"	2	25.1	"2 2"	10.1306231251199	"End"	16.1494788238272	76	6.33339895961787
"26"	"end-26"	26	"3"	0	0	"3 0"	0	"End"	8.57706191948451	32	3.58189151988008
"27"	"end-27"	27	"1"	0	0	"1 0"	0	"End"	9.54828518992292	159	4.6452188085285
"28"	"end-28"	28	"1"	4	1.58	"1 4"	7.36518012602101	"End"	15.413854815329	154	6.02051044523515
"29"	"end-29"	29	"4"	0	0	"4 0"	0	"End"	8.27478084990765	24	4.97545062881261
"30"	"end-30"	30	"5"	0	0	"5 0"	0	"End"	5.22295832044638	27	2.33178699877464
"31"	"end-31"	31	"5"	2	25.1	"5 2"	10.1306231251199	"End"	11.9226084811927	49	6.27694540017175
"32"	"end-32"	32	"2"	1	100	"2 1"	11.5129254649702	"End"	17.1612289291038	68	6.08441576540288
"33"	"end-33"	33	"S2"	0	0	"S2 0"	0	"End"	2.02485854745196	6	1.42255102195282
"34"	"end-34"	34	"5"	5	0.398	"5 5"	5.98645200528444	"End"	1.87788993077803	13	1.71111847251328
"35"	"end-35"	35	"1"	0	0	"1 0"	0	"End"	16.5679883636392	148	6.0605280161687
"36"	"end-36"	36	"1"	1	100	"1 1"	11.5129254649702	"End"	15.0510222957305	142	5.15481398640346
"37"	"end-37"	37	"3"	1	100	"3 1"	11.5129254649702	"End"	4.94907169641789	32	3.13283165908971
"38"	"end-38"	38	"5"	3	6.31	"5 3"	8.74989095553526	"End"	4.18381519131631	16	2.92466152881296
"39"	"end-39"	39	"4"	4	1.58	"4 4"	7.36518012602101	"End"	7.06009458189152	24	3.48938768147076
"40"	"end-40"	40	"3"	6	0.1	"3 6"	4.60517018598809	"End"	8.50209012005153	30	4.39803079459233
"41"	"end-41"	41	"3"	0	0	"3 0"	0	"End"	9.43038955383419	24	5.68833708507018
"42"	"end-42"	42	"3"	2	25.1	"3 2"	10.1306231251199	"End"	5.03408528210378	28	3.37526154175404
"43"	"end-43"	43	"2"	0	0	"2 0"	0	"End"	16.1613880226572	59	5.25315994851845
"44"	"end-44"	44	"2"	0	0	"2 0"	0	"End"	18.8366212319644	76	7.6215358956993
"45"	"end-45"	45	"4"	1	100	"4 1"	11.5129254649702	"End"	3.14687989800731	23	2.20019400150272
"46"	"end-46"	46	"5"	6	0.1	"5 6"	4.60517018598809	"End"	3.21775845658382	22	2.60977856771196
"47"	"end-47"	47	"4"	6	0.1	"4 6"	4.60517018598809	"End"	7.60630035970036	21	3.3994035265999
"48"	"end-48"	48	"4"	3	6.31	"4 3"	8.74989095553526	"End"	16.3037878059013	32	1.8723635317361
"49"	"end-49"	49	"S4"	0	0	"S4 0"	0	"End"	2.08726288779435	22	2.07100229775834
"50"	"Inokulum"	NA	"I"	0	0	NA	0	"Inokulum"	74.268195655227	344	12.130681487624
"51"	"Inokulum2"	NA	"I"	0	0	NA	0	"Inokulum"	73.9474264597833	314	13.1721531749913
"52"	"mid-01"	1	"3"	4	1.58	"3 4"	7.36518012602101	"Mid"	4.48306198155978	27	2.31358002887404
"53"	"mid-02"	2	"2"	0	0	"2 0"	0	"Mid"	13.5161273516251	53	5.75785075829162
"54"	"mid-03"	3	"1"	2	25.1	"1 2"	10.1306231251199	"Mid"	9.37611763376717	216	4.48300958575014
"55"	"mid-04"	4	"3"	0	0	"3 0"	0	"Mid"	4.80109443431249	17	3.08502890131959
"56"	"mid-05"	5	"2"	6	0.1	"2 6"	4.60517018598809	"Mid"	7.03880726735457	63	4.19310024647998
"57"	"mid-06"	6	"4"	0	0	"4 0"	0	"Mid"	1.1160130727428	13	1.11041388205537
"58"	"mid-07"	7	"1"	5	0.398	"1 5"	5.98645200528444	"Mid"	6.47408460061478	134	3.54762019767399
"59"	"mid-08"	8	"4"	0	0	"4 0"	0	"Mid"	2.26863598020663	9	2.26235586483309
"60"	"mid-09"	9	"5"	0	0	"5 0"	0	"Mid"	3.65717914515	14	1.72939973257877
"61"	"mid-10"	10	"3"	3	6.31	"3 3"	8.74989095553526	"Mid"	7.53078507306962	22	3.81234419320174
"62"	"mid-11"	11	"5"	0	0	"5 0"	0	"Mid"	2.99931383320984	10	1.28185328714748
"63"	"mid-12"	12	"2"	3	6.31	"2 3"	8.74989095553526	"Mid"	11.5709149643654	67	5.4285919043705
"64"	"mid-13"	13	"5"	1	100	"5 1"	11.5129254649702	"Mid"	4.09611643598565	16	3.04011429504911
"65"	"mid-14"	14	"4"	2	25.1	"4 2"	10.1306231251199	"Mid"	1.54276997607879	13	1.52118679438647
"66"	"mid-15"	15	"S1"	0	0	"S1 0"	0	"Mid"	19.4115257974785	32	11.1946473787427
"67"	"mid-16"	16	"3"	5	0.398	"3 5"	5.98645200528444	"Mid"	2.89721545771787	19	2.58505823018975
"68"	"mid-17"	17	"4"	5	0.398	"4 5"	5.98645200528444	"Mid"	3.52033542900591	14	1.77291850155778
"69"	"mid-18"	18	"1"	6	0.1	"1 6"	4.60517018598809	"Mid"	8.61009634751037	170	4.2887658951045
"70"	"mid-19"	19	"2"	5	0.398	"2 5"	5.98645200528444	"Mid"	10.7104277098211	74	5.0147375889415
"71"	"mid-20"	20	"1"	0	0	"1 0"	0	"Mid"	5.14105793045365	109	3.08427727792364
"72"	"mid-21"	21	"5"	4	1.58	"5 4"	7.36518012602101	"Mid"	1.48830462738081	9	1.4075453422925
"73"	"mid-22"	22	"S3"	0	0	"S3 0"	0	"Mid"	NA	NA	NA
"74"	"mid-23"	23	"1"	3	6.31	"1 3"	8.74989095553526	"Mid"	7.37610220902877	134	3.87926710282257
"75"	"mid-24"	24	"2"	4	1.58	"2 4"	7.36518012602101	"Mid"	15.5843963018584	74	6.11395798868351
"76"	"mid-25"	25	"2"	2	25.1	"2 2"	10.1306231251199	"Mid"	15.826173283387	73	5.862700217769
"77"	"mid-26"	26	"3"	0	0	"3 0"	0	"Mid"	6.65463224611838	22	2.81564518871102
"78"	"mid-27"	27	"1"	0	0	"1 0"	0	"Mid"	8.84202334042105	199	4.22353470207142
"79"	"mid-28"	28	"1"	4	1.58	"1 4"	7.36518012602101	"Mid"	5.31926840140223	85	3.23871799913586
"80"	"mid-29"	29	"4"	0	0	"4 0"	0	"Mid"	7.00264302925366	24	3.59318573133002
"81"	"mid-30"	30	"5"	0	0	"5 0"	0	"Mid"	3.23103312329248	22	1.36071825958779
"82"	"mid-31"	31	"5"	2	25.1	"5 2"	10.1306231251199	"Mid"	4.14545654390436	14	2.12341601360112
"83"	"mid-32"	32	"2"	1	100	"2 1"	11.5129254649702	"Mid"	12.7734062688496	63	5.37509261089585
"84"	"mid-33"	33	"S2"	0	0	"S2 0"	0	"Mid"	1.99555376024919	20	1.3535366398939
"85"	"mid-34"	34	"5"	5	0.398	"5 5"	5.98645200528444	"Mid"	2.03255211924324	15	1.8214896105203
"86"	"mid-35"	35	"1"	0	0	"1 0"	0	"Mid"	8.80619741556474	195	4.30266367228323
"87"	"mid-36"	36	"1"	1	100	"1 1"	11.5129254649702	"Mid"	10.6940004631561	203	4.43877935277238
"88"	"mid-37"	37	"3"	1	100	"3 1"	11.5129254649702	"Mid"	16.1042898810895	79	5.93741401954527
"89"	"mid-38"	38	"5"	3	6.31	"5 3"	8.74989095553526	"Mid"	6.568141601063	25	2.81060815604686
"90"	"mid-39"	39	"4"	4	1.58	"4 4"	7.36518012602101	"Mid"	7.92654470496944	168	4.06756818419641
"91"	"mid-40"	40	"3"	6	0.1	"3 6"	4.60517018598809	"Mid"	7.31863217236901	135	3.82191732806241
"92"	"mid-41"	41	"3"	0	0	"3 0"	0	"Mid"	7.18691301304757	26	3.61696058321147
"93"	"mid-42"	42	"3"	2	25.1	"3 2"	10.1306231251199	"Mid"	3.3446290677898	19	1.42246012011573
"94"	"mid-43"	43	"2"	0	0	"2 0"	0	"Mid"	4.28342045032895	10	2.24409550216777
"95"	"mid-44"	44	"2"	0	0	"2 0"	0	"Mid"	12.6148588175163	55	5.43983331604209
"96"	"mid-45"	45	"4"	1	100	"4 1"	11.5129254649702	"Mid"	1.89237340465941	25	1.28940005740864
"97"	"mid-46"	46	"5"	6	0.1	"5 6"	4.60517018598809	"Mid"	1.87057687834261	14	1.72026409227235
"98"	"mid-47"	47	"4"	6	0.1	"4 6"	4.60517018598809	"Mid"	9.02273362225577	256	4.34028004565673
"99"	"mid-48"	48	"4"	3	6.31	"4 3"	8.74989095553526	"Mid"	9.70806779829229	159	4.35426832587894
"100"	"mid-49"	49	"S4"	0	0	"S4 0"	0	"Mid"	NA	NA	NA
